System,Replicate,Mass_kg,Height_m,PE_grav_J,E_elec_out_J,Discharge_eff_pct,T_cycle_s,P_elec_avg_W
Variable CW,Run_1,50,3,1471.5,1109.56244862104,75.4034963385009,8,138.69530607763
Variable CW,Run_2,50,3,1471.5,1120.66663658967,76.1581132578775,8,140.083329573709
Variable CW,Run_3,50,3,1471.5,1176.88197779611,79.9783878896436,8,147.110247224513
Variable CW,Run_4,50,3,1471.5,1102.28299272117,74.908800049009,8,137.785374090146
Variable CW,Run_5,50,3,1471.5,1129.03478480043,76.7267947536821,8,141.129348100054
Variable CW,Run_6,50,3,1471.5,1158.53301438618,78.7314314907361,8,144.816626798273
Variable CW,Run_7,50,3,1471.5,1107.44253813465,75.2594317454739,8,138.430317266831
Variable CW,Run_8,50,3,1471.5,1145.7997750417,77.8661077160515,8,143.224971880212
Variable CW,Run_9,50,3,1471.5,1130.67822709904,76.8384795853919,8,141.33477838738
Variable CW,Run_10,50,3,1471.5,1149.11760481001,78.0915803472656,8,143.639700601252
Dual Weight,Run_1,50,3,1471.5,875.432668761596,59.4925361034044,6,145.905444793599
Dual Weight,Run_2,50,3,1471.5,879.64030573107,59.7784781332701,6,146.606717621845
Dual Weight,Run_3,50,3,1471.5,876.022217329019,59.5326005660224,6,146.00370288817
Dual Weight,Run_4,50,3,1471.5,909.582202394255,61.8132655381757,6,151.597033732376
Dual Weight,Run_5,50,3,1471.5,857.682594775009,58.2862789517506,6,142.947099129168
Dual Weight,Run_6,50,3,1471.5,881.509377327207,59.9054962505747,6,146.918229554535
Dual Weight,Run_7,50,3,1471.5,886.318948694047,60.2323444576314,6,147.719824782341
Dual Weight,Run_8,50,3,1471.5,880.330179354763,59.8253604726309,6,146.721696559127
Dual Weight,Run_9,50,3,1471.5,890.895735579462,60.543373128064,6,148.482622596577
Dual Weight,Run_10,50,3,1471.5,892.585770053572,60.6582242645989,6,148.764295008929
Buoyancy,Run_1,50,3,1471.5,577.071959113013,39.2165789407417,46.2,12.4907350457362
Buoyancy,Run_2,50,3,1471.5,577.19945080871,39.2252430043296,46.2,12.4934946062491
Buoyancy,Run_3,50,3,1471.5,587.152954405987,39.9016618692482,46.2,12.708938407056
Buoyancy,Run_4,50,3,1471.5,569.715262227446,38.7166335186847,46.2,12.3314991824122
Buoyancy,Run_5,50,3,1471.5,599.668485909324,40.7521906836102,46.2,12.9798373573447
Buoyancy,Run_6,50,3,1471.5,568.777450924811,38.6529018637317,46.2,12.3112002364678
Buoyancy,Run_7,50,3,1471.5,567.416786479776,38.5604340115376,46.2,12.2817486251034
Buoyancy,Run_8,50,3,1471.5,580.15093056232,39.4258192702902,46.2,12.5573794494009
Buoyancy,Run_9,50,3,1471.5,590.226085940235,40.110505330631,46.2,12.7754564056328
Buoyancy,Run_10,50,3,1471.5,592.620633628378,40.273233681847,46.2,12.8272864421727
Halbach Array,Run_1,50,3,1471.5,401.923019647638,27.3138307609676,9.7,41.4353628502719
Halbach Array,Run_2,50,3,1471.5,397.822219267568,27.0351491177416,9.7,41.0125999244916
Halbach Array,Run_3,50,3,1471.5,397.256429987696,26.9966992856063,9.7,40.9542711327522
Halbach Array,Run_4,50,3,1471.5,391.700736706689,26.6191462253951,9.7,40.3815192481122
Halbach Array,Run_5,50,3,1471.5,397.611472075779,27.0208271882962,9.7,40.9908734098741
Halbach Array,Run_6,50,3,1471.5,398.613308485378,27.0889098528969,9.7,41.0941555139565
Halbach Array,Run_7,50,3,1471.5,397.309073506035,27.0002768267778,9.7,40.9596982995912
Halbach Array,Run_8,50,3,1471.5,388.416867298051,26.3959814677575,9.7,40.0429760101084
Halbach Array,Run_9,50,3,1471.5,397.038106949257,26.9818625177884,9.7,40.9317636030162
Halbach Array,Run_10,50,3,1471.5,402.308766075909,27.3400452650975,9.7,41.4751305232896
